,Time,OPEN,CLOSE,HIGH,LOW,MEAN,MA1,MA5,MA20,  VOLUME, MACD  ,  RSI12  ,ROC   ,MTM,K,  D     , J     ,response
852,2017-02-21 00:00:00,277.15,277.5,277.65,276.6,277.58,277.5,276.62,274.3,99214.0,0.38,60.32,2.17,5.9,67.12,68.58,64.2,0.65
853,2017-02-22 00:00:00,276.5,277.2,278.15,275.75,277.68,277.2,277.07,274.49,159914.0,0.28,59.12,1.06,2.9,67.8,68.32,66.76,-0.3
854,2017-02-23 00:00:00,277.65,277.75,278.15,276.5,277.95,277.75,277.35,274.84,153238.0,0.25,60.69,0.45,1.25,72.98,69.87,79.19,0.55
855,2017-02-24 00:00:00,278.8,281.15,281.7,278.4,281.43,281.15,278.09,275.33,273622.0,0.62,68.75,1.59,4.4,79.75,73.17,92.92,3.4
856,2017-02-27 00:00:00,282.2,282.15,282.45,280.55,282.3,282.15,279.15,275.8,180334.0,0.92,70.68,1.42,3.95,85.38,77.24,101.67,1.0
857,2017-02-28 00:00:00,281.85,281.2,283.35,280.95,282.28,281.2,279.89,276.24,160636.0,0.9,66.43,2.16,5.95,82.98,79.15,90.63,-0.95
858,2017-03-01 00:00:00,281.15,279.15,281.95,278.65,280.55,279.15,280.28,276.71,209236.0,0.55,58.19,0.99,2.75,70.23,76.18,58.34,-2.05
859,2017-03-02 00:00:00,279.1,279.45,280.4,278.15,279.93,279.45,280.62,277.31,170848.0,0.3,59.0,1.25,3.45,63.05,71.8,45.54,0.3
860,2017-03-03 00:00:00,278.9,277.4,279.25,276.9,278.33,277.4,279.87,277.6,238202.0,-0.16,51.54,0.89,2.45,49.27,64.29,19.23,-2.05
861,2017-03-06 00:00:00,276.9,277.45,278.55,276.5,278.0,277.45,278.93,277.76,182046.0,-0.48,51.7,0.4,1.1,40.3,56.3,8.32,0.05
862,2017-03-07 00:00:00,277.45,276.4,277.9,276.1,277.15,276.4,277.97,277.75,137414.0,-0.82,48.01,-0.38,-1.05,28.25,46.95,-9.15,-1.05
863,2017-03-08 00:00:00,276.0,274.55,276.0,274.5,275.28,274.55,277.05,277.64,174404.0,-1.25,42.22,-0.83,-2.3,19.02,37.64,-18.21,-1.85
864,2017-03-09 00:00:00,273.95,273.25,274.7,272.6,273.98,273.25,275.81,277.39,213736.0,-1.66,38.65,-1.53,-4.25,14.7,29.99,-15.89,-1.3
865,2017-03-10 00:00:00,273.4,271.05,273.85,271.0,272.45,271.05,274.54,277.18,200774.0,-2.13,33.43,-2.22,-6.15,9.93,23.3,-16.81,-2.2
866,2017-03-13 00:00:00,271.15,273.65,273.65,270.75,273.65,273.65,273.78,277.05,247398.0,-2.0,43.3,-1.48,-4.1,15.25,20.62,4.52,2.6
867,2017-03-14 00:00:00,272.5,272.35,273.1,272.2,272.73,272.35,272.97,276.86,129460.0,-2.0,40.06,-3.13,-8.8,15.69,18.98,9.13,-1.3
868,2017-03-15 00:00:00,272.55,272.5,273.25,271.6,272.88,272.5,272.56,276.74,150980.0,-1.89,40.62,-3.42,-9.65,17.33,18.43,15.12,0.15
869,2017-03-16 00:00:00,271.8,277.15,277.3,271.6,277.23,277.15,273.34,276.78,261416.0,-1.13,54.87,-1.44,-4.05,38.9,25.25,66.2,4.65
870,2017-03-17 00:00:00,278.15,277.05,278.25,276.5,277.65,277.05,274.54,276.76,137970.0,-0.62,54.56,-0.75,-2.1,53.93,34.81,92.18,-0.1
871,2017-03-20 00:00:00,277.4,278.45,278.55,276.95,278.5,278.45,275.5,276.84,138722.0,-0.09,58.14,-0.36,-1.0,68.86,46.16,114.26,1.4
872,2017-03-21 00:00:00,278.25,277.35,278.75,276.65,278.05,277.35,276.5,276.83,167944.0,0.11,54.46,-0.02,-0.05,73.41,55.24,109.74,-1.1
873,2017-03-22 00:00:00,277.65,279.8,280.35,277.5,280.08,279.8,277.96,276.96,244648.0,0.53,60.53,0.85,2.35,80.36,63.62,113.85,2.45
874,2017-03-23 00:00:00,279.75,279.75,280.2,278.9,279.98,279.75,278.48,277.06,164432.0,0.76,60.35,1.21,3.35,84.82,70.69,113.1,-0.05
875,2017-03-24 00:00:00,280.45,278.95,280.7,278.45,279.83,278.95,278.86,276.95,184200.0,0.76,57.39,1.6,4.4,83.47,74.95,100.52,-0.8
876,2017-03-27 00:00:00,279.2,282.0,282.25,278.75,282.13,282.0,279.57,276.95,162888.0,1.09,64.61,3.2,8.75,88.2,79.37,105.87,3.05
877,2017-03-28 00:00:00,282.05,281.2,282.35,280.95,281.78,281.2,280.34,276.95,148832.0,1.13,61.62,3.74,10.15,88.57,82.43,100.84,-0.8
878,2017-03-29 00:00:00,282.05,280.6,282.15,280.05,281.38,280.6,280.5,277.02,159592.0,1.01,59.38,2.54,6.95,82.41,82.42,82.37,-0.6
879,2017-03-30 00:00:00,280.95,280.6,281.2,280.1,280.9,280.6,280.67,277.08,126756.0,0.87,59.38,3.03,8.25,78.04,80.96,72.19,0.0
880,2017-03-31 00:00:00,280.35,278.6,280.35,278.2,279.48,278.6,280.6,277.14,178510.0,0.46,51.87,2.24,6.1,63.43,75.12,40.05,-2.0
881,2017-04-05 00:00:00,281.2,281.25,281.75,280.75,281.5,281.25,280.45,277.33,74992.0,0.5,59.31,1.48,4.1,68.06,72.76,58.65,2.65
882,2017-04-06 00:00:00,280.2,281.25,281.7,279.2,281.48,281.25,280.46,277.57,198064.0,0.48,59.31,1.52,4.2,69.87,71.8,66.01,0.0
883,2017-04-07 00:00:00,281.05,283.5,285.45,280.4,284.48,283.5,281.04,278.02,294194.0,0.7,64.8,1.81,5.05,70.95,71.52,69.81,2.25
884,2017-04-10 00:00:00,284.45,282.2,285.05,281.15,283.63,282.2,281.36,278.46,254310.0,0.62,59.72,1.75,4.85,65.69,69.57,57.92,-1.3
885,2017-04-11 00:00:00,281.25,282.75,282.95,280.9,282.85,282.75,282.19,279.05,169940.0,0.58,61.12,1.05,2.95,64.71,67.95,58.23,0.55
886,2017-04-12 00:00:00,283.4,285.85,287.1,283.25,286.48,285.85,283.11,279.66,316430.0,0.9,68.0,2.18,6.1,71.79,69.23,76.91,3.1
887,2017-04-13 00:00:00,286.1,287.15,288.0,285.1,287.58,287.15,284.29,280.4,242774.0,1.19,70.39,2.94,8.2,78.3,72.26,90.4,1.3
